Thoughts:,"Setting out these sorts of statements is probably quite useful for scenario development. Start with these points, build scenarios around them. Helps with scope and validation.",The content statements are probably too granular to display in the UI? And they would give users the answer going in. So perhaps bundle them up instead like this.,Meta / pedagogical tags from existing learning assets,,There are some different types of content statements. Is it helpful to try and categorise them? E.g. provides information for content recommendation - rule summaries imply high level. Source awareness might suggest look at those sources next,"Depending on the type of content, can link to more or less granular legal sources. This could all be parsed out of a uri. Can go to user knowledge graph and content recommendation: if you've done some scenarios in Part 17 Ch 5 but not others, it's worth having a look at those others. Granularity of sources might also be an indication of difficulty (so helping drive recommendation too).",,,,,It might be helpful to be able to explicity link to other statements
No.,Content,Knowledge summary,Topic 1,Topic 2,Content type,Act,Part,Chapter,Title,Section,Linked knowledge
1,A company's shares must not be allotted at a discount,The rules on shares issued by limited companies,Maintenance of capital,Issuing shares,Statement of rule,Companies Act 2006,Part 17,Chapter 5,General rules,580(1),
2,"A company must receive, or be entitled to receive, the consideration for the allotment",The rules on shares issued by limited companies,Maintenance of capital,Issuing shares,Statement of rule,Companies Act 2006,Part 17,Chapter 5,General rules,,
3,"A company can issue a share partly paid, but it must be entitled to receive the full amount",The rules on shares issued by limited companies,Maintenance of capital,Issuing shares,Statement of rule,Companies Act 2006,Part 17,Chapter 5,General rules,,
4,Shares in a public company must be at least one quarter paid up,The rules on shares issued by public limited companies,Maintenance of capital,Issuing shares,Statement of rule,Companies Act 2006,Part 17,Chapter 5,Additional rules for public companies,586(1),
5,"A public company must have at least £50,000 nominal share capital",The rules on shares issued by public limited companies,Maintenance of capital,Issuing shares,Statement of rule,Companies Act 2006,Part 20,Chapter 2,,763(1),
6,"A public company needs to have at least £12,500 paid up on incorporation",Practical points on incorporation public limited companies,Maintenance of capital,Issuing shares,Practical application of rules,Companies Act 2006,,,,,"Content 4, Content 5"
7,"You can capitalise a public company with redeemable shares to get the initial capital back, provided one ordinary share remains",Practical points on incorporation public limited companies,Maintenance of capital,Issuing shares,Practical application of rules,Companies Act 2006,Part 18,Chapter 3,,684,
8,"Public companies can not allot shares for non-cash consideration, unless that consideration has been valued",The rules on shares issued by public limited companies,Maintenance of capital,Issuing shares,Statement of rule,Companies Act 2006,Part 17,Chapter 6,Non-cash consideration for shares,593(1),
9,Valuation of non-cash consideration is not a straightforward process and valuation reports are public,Practical points on shares issued by public limited companies,Maintenance of capital,Issuing shares,Statement of rule,Companies Act 2006,Part 17,Chapter 6,Non-cash consideration for shares,593,
